,macro,iteration,value,n,n_cumsum,cost_cumsum
290,7,3,1.7883042097091675,2.0,6.0,7.0
291,7,4,1.7580523490905762,2.0,8.0,9.0
292,7,5,1.844555377960205,2.0,10.0,11.0
293,7,6,1.8498919010162354,2.0,12.0,13.0
294,7,7,1.8133559226989746,2.0,14.0,15.0
295,7,8,1.84140944480896,2.0,16.0,17.0
296,7,9,1.8356653451919556,2.0,18.0,19.0
297,7,10,1.8547461032867432,2.0,20.0,21.0
298,7,11,1.8594841957092285,2.0,22.0,23.0
299,7,12,1.8618996143341064,2.0,24.0,25.0
300,7,13,1.8717246055603027,2.0,26.0,27.0
301,7,14,1.9055392742156982,2.0,28.0,29.0
302,7,15,1.882354736328125,2.0,30.0,31.0
303,7,16,1.8992314338684082,2.0,32.0,33.0
304,7,17,1.9178860187530518,2.0,34.0,35.0
305,7,18,1.9223787784576416,2.0,36.0,37.0
306,7,19,1.919584035873413,2.0,38.0,39.0
307,7,20,1.9241673946380615,2.0,40.0,41.0
308,7,21,1.9279251098632812,2.0,42.0,43.0
309,7,22,1.933396816253662,2.0,44.0,45.0
310,7,23,1.9350817203521729,2.0,46.0,47.0
311,7,24,1.9378799200057983,2.0,48.0,49.0
312,7,25,1.9381953477859497,2.0,50.0,51.0
313,7,26,1.9383761882781982,2.0,52.0,53.0
314,7,27,1.9276127815246582,2.0,54.0,55.0
315,7,28,1.9386216402053833,2.0,56.0,57.0
316,7,29,1.9418727159500122,2.0,58.0,59.0
317,7,30,1.9413543939590454,2.0,60.0,61.0
318,7,31,1.9409854412078857,2.0,62.0,63.0
319,7,32,1.9461774826049805,2.0,64.0,65.0
320,7,33,1.9461679458618164,2.0,66.0,67.0
321,7,34,1.9514334201812744,2.0,68.0,69.0
322,7,35,1.9504605531692505,2.0,70.0,71.0
323,7,36,1.952326774597168,2.0,72.0,73.0
324,7,37,1.951507329940796,2.0,74.0,75.0
325,7,38,1.9522106647491455,2.0,76.0,77.0
326,7,39,1.9527368545532227,2.0,78.0,79.0
327,7,40,1.9543817043304443,2.0,80.0,81.0
328,8,0,1.9547326564788818,0.0,0.0,0.0
329,8,1,1.9549533128738403,2.0,2.0,3.0
330,8,2,1.9067680835723877,2.0,4.0,5.0
331,8,3,1.9543676376342773,2.0,6.0,7.0
332,8,4,1.9541271924972534,2.0,8.0,9.0
333,8,5,1.952852487564087,2.0,10.0,11.0
334,8,6,1.9542310237884521,2.0,12.0,13.0
335,8,7,1.954514980316162,2.0,14.0,15.0
336,8,8,1.954721212387085,2.0,16.0,17.0
337,8,9,1.9479091167449951,2.0,18.0,19.0
338,8,10,1.9517381191253662,2.0,20.0,21.0
339,8,11,1.955007553100586,2.0,22.0,23.0
340,8,12,1.9546135663986206,2.0,24.0,25.0
341,8,13,1.955008625984192,2.0,26.0,27.0
342,8,14,1.951977014541626,2.0,28.0,29.0
343,8,15,1.9516232013702393,2.0,30.0,31.0
344,8,16,1.9549176692962646,2.0,32.0,33.0
345,8,17,1.9548628330230713,2.0,34.0,35.0
346,8,18,1.954744815826416,2.0,36.0,37.0
347,8,19,1.954599380493164,2.0,38.0,39.0
348,8,20,1.9535531997680664,2.0,40.0,41.0
349,8,21,1.9533112049102783,2.0,42.0,43.0
350,8,22,1.9544782638549805,2.0,44.0,45.0
351,8,23,1.955007791519165,2.0,46.0,47.0
352,8,24,1.9544787406921387,2.0,48.0,49.0
353,8,25,1.9549551010131836,2.0,50.0,51.0
354,8,26,1.954946517944336,2.0,52.0,53.0
355,8,27,1.9550127983093262,2.0,54.0,55.0
356,8,28,1.9550153017044067,2.0,56.0,57.0
357,8,29,1.9544705152511597,2.0,58.0,59.0
358,8,30,1.9545347690582275,2.0,60.0,61.0
359,8,31,1.953019618988037,2.0,62.0,63.0
360,8,32,1.9501953125,2.0,64.0,65.0
361,8,33,1.9497337341308594,2.0,66.0,67.0
362,8,34,1.9522625207901,2.0,68.0,69.0
363,8,35,1.9546372890472412,2.0,70.0,71.0
364,8,36,1.9546396732330322,2.0,72.0,73.0
365,8,37,1.9547574520111084,2.0,74.0,75.0
366,8,38,1.9549998044967651,2.0,76.0,77.0
367,8,39,1.955005168914795,2.0,78.0,79.0
368,8,40,1.9548094272613525,2.0,80.0,81.0
369,9,0,1.9359513521194458,0.0,0.0,0.0
370,9,1,1.9489097595214844,2.0,2.0,3.0
371,9,2,1.954815149307251,2.0,4.0,5.0
372,9,3,1.9494662284851074,2.0,6.0,7.0
373,9,4,1.9530500173568726,2.0,8.0,9.0
374,9,5,1.9460101127624512,2.0,10.0,11.0
375,9,6,1.9529366493225098,2.0,12.0,13.0
376,9,7,1.9548616409301758,2.0,14.0,15.0
377,9,8,1.9541066884994507,2.0,16.0,17.0
378,9,9,1.952476978302002,2.0,18.0,19.0
379,9,10,1.9545795917510986,2.0,20.0,21.0
380,9,11,1.9484049081802368,2.0,22.0,23.0
381,9,12,1.9357020854949951,2.0,24.0,25.0
382,9,13,1.9331355094909668,2.0,26.0,27.0
383,9,14,1.9281294345855713,2.0,28.0,29.0
384,9,15,1.9356580972671509,2.0,30.0,31.0
385,9,16,1.9264113903045654,2.0,32.0,33.0
386,9,17,1.9253876209259033,2.0,34.0,35.0
387,9,18,1.9361088275909424,2.0,36.0,37.0
388,9,19,1.9371795654296875,2.0,38.0,39.0
