,macro,iteration,value,n,n_cumsum,cost_cumsum
303,18,15,1.952002763748169,11.0,84.0,58.0
304,19,0,1.8536853790283203,0.0,0.0,0.0
305,19,1,1.7393192052841187,3.0,3.0,3.5
306,19,2,1.9311022758483887,3.0,6.0,6.0
307,19,3,1.9112071990966797,4.0,10.0,9.0
308,19,4,1.9360980987548828,4.0,14.0,12.0
309,19,5,1.9357612133026123,3.0,17.0,14.5
310,19,6,1.9550144672393799,6.0,23.0,18.5
311,19,7,1.9527422189712524,6.0,29.0,22.5
312,19,8,1.9548676013946533,6.0,35.0,26.5
313,19,9,1.9549299478530884,3.0,38.0,29.0
314,19,10,1.9549881219863892,2.0,40.0,31.0
315,19,11,1.9550056457519531,3.0,43.0,33.5
316,19,12,1.9548747539520264,4.0,47.0,36.5
317,19,13,1.9539709091186523,6.0,53.0,40.5
318,19,14,1.9514909982681274,8.0,61.0,45.5
319,19,15,1.9541332721710205,6.0,67.0,49.5
320,20,0,1.910719394683838,0.0,0.0,0.0
321,20,1,1.951200008392334,3.0,3.0,3.5
322,20,2,1.944814920425415,3.0,6.0,6.0
323,20,3,1.9345370531082153,5.0,11.0,9.5
324,20,4,1.9195160865783691,5.0,16.0,13.0
325,20,5,1.9475486278533936,3.0,19.0,15.5
326,20,6,1.9423578977584839,6.0,25.0,19.5
327,20,7,1.9432711601257324,4.0,29.0,22.5
328,20,8,1.942130446434021,4.0,33.0,25.5
329,20,9,1.942169427871704,6.0,39.0,29.5
330,20,10,1.9388986825942993,6.0,45.0,33.5
331,20,11,1.9441027641296387,9.0,54.0,39.0
332,20,12,1.9403252601623535,2.0,56.0,41.0
333,20,13,1.940659999847412,2.0,58.0,43.0
334,20,14,1.939192295074463,7.0,65.0,47.5
335,20,15,1.9300941228866577,7.0,72.0,52.0
336,21,0,1.8869463205337524,0.0,0.0,0.0
337,21,1,1.8740324974060059,3.0,3.0,3.5
338,21,2,1.9069201946258545,3.0,6.0,6.0
339,21,3,1.9318640232086182,4.0,10.0,9.0
340,21,4,1.9528120756149292,4.0,14.0,12.0
341,21,5,1.953554630279541,6.0,20.0,16.0
342,21,6,1.9527814388275146,5.0,25.0,19.5
343,21,7,1.9530119895935059,7.0,32.0,24.0
344,21,8,1.9547735452651978,7.0,39.0,28.5
345,21,9,1.9549775123596191,9.0,48.0,34.0
346,21,10,1.9546289443969727,8.0,56.0,39.0
347,21,11,1.9477808475494385,7.0,63.0,43.5
348,21,12,1.9502625465393066,7.0,70.0,48.0
349,21,13,1.9482839107513428,9.0,79.0,53.5
350,21,14,1.9479848146438599,11.0,90.0,60.0
351,21,15,1.9185649156570435,12.0,102.0,67.0
